S_ID,n(control),n(case),core(case),Union,Intersect,Exclusive,Jaccard-score,NESH-score,DelBet,COM
s__Parasutterella_excrementihominis,4,1,1,4,1,0,0.25,0.75,-0.451,11
s__Ruminococcus_callidus,1,1,1,2,0,1,0,1.7,0,6
s__Ruminococcus_gnavus,3,3,1,5,1,2,0.2,1.6,-0.381,4
s__Ruminococcus_obeum,1,2,2,3,0,2,0,2.067,0.087,1
s__Ruminococcus_sp_5_1_39BFAA,2,2,1,4,0,2,0,1.9,-0.051,7
s__Streptococcus_salivarius,3,1,1,4,0,1,0,1.45,-0.419,4
s__Subdoligranulum_sp_4_3_54A2FAA,3,5,2,7,1,4,0.143,2.229,0.319,2
s__Subdoligranulum_unclassified,2,1,1,3,0,1,0,1.533,-0.035,8
s__Veillonella_parvula,2,3,1,4,1,2,0.25,1.65,-0.227,4
s__Veillonella_unclassified,3,2,1,4,1,1,0.25,1.2,-0.419,4
